mRNA levels of 464 genes that differentially expressed during RGC ageing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two sided p value and adjusted p value (q value) were given by the exact test of the edgeR Bioconductor package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gene selection criteria for Fig. 4c, 4d and 9i: genes significantly changed during ageing (q < 0.05, absolute log2 fold-change > 1), not low expressed (log2(CPM) > - 2) or altered by mock AAV infection (Old vs Old (-OSK), q > 0.1).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gene,length,5 mo_rep1,5 mo_rep2,5 mo_rep3,5 mo_rep4,5 mo_rep5,12 mo_rep1,12 mo_rep2,12 mo_rep3,12 mo_rep4,12 mo_rep5,12 mo_rep6,12 mo (-OSK)_rep1,12 mo (-OSK)_rep2,12 mo (-OSK)_rep3,12 mo (-OSK)_rep4,12 mo (-OSK)_rep5,12 mo (+OSK)_rep1,12 mo (+OSK)_rep2,12 mo (+OSK)_rep3,12 mo(+OSK)_rep4,,logCPM,AAV effect,logFC (12 mo (-OSK)/12 mo),PValue,QValue, Ageing,logFC (12m/5m),PValue,QValue,OSK,logFC (12 mo (+OSK)/12 mo (-OSK)),PValue,QValue
Scg3,861,18.14377714,19.01657551,36.29474456,31.798067,25.96136319,45.5194015,60.85987496,54.6112098,39.1850298,78.95249601,66.09449091,48.43037147,54.7717308,74.93353127,69.85031045,69.89646718,18.57121459,18.98038038,25.64239756,20.92814791,,6.89135638,,0.042948349,0.808304473,1,,1.094408997,2.84E-09,1.01E-06,,-1.477475927,1.04E-12,6.92E-11
Map6,12912,4.797533252,6.409695216,7.206539348,8.267262482,7.629843652,12.97551296,12.51127443,11.56726506,12.60816081,17.48056409,19.4156335,16.59244435,15.36538225,14.21813919,16.85843294,15.5896645,6.775539607,6.693952034,7.945813109,8.555078474,,6.702375454,,0.031847785,0.82885551,1,,1.035312735,1.47E-11,1.60E-08,,-0.957435168,1.71E-08,4.44E-07
Nrcam,107,3.358945743,3.992623143,4.554712025,5.043439266,4.855220334,9.28004396,8.856338187,7.181873647,6.894648805,11.69780651,10.07381978,11.58816016,9.789960196,11.92470623,13.62794802,11.11150548,3.810127666,3.468818426,4.186738376,4.103305252,,6.622136712,,0.272981077,0.047124847,0.198020969,,1.006477549,1.12E-12,2.38E-09,,-1.45961584,4.88E-20,2.33E-17
Ampd2,796,6.531782223,7.422202074,10.0451933,12.58766883,12.76263441,20.29772337,16.56984783,19.05736495,17.07898809,27.50784374,28.25045505,28.59359217,21.43946435,20.6668997,25.30585289,26.60406104,13.69634346,14.27777094,12.08769961,13.2345461,,6.520363698,,0.104202411,0.559354213,1,,1.083861981,4.21E-09,1.40E-06,,-0.758692564,0.00018355,0.001651681
Slc8a3,3525,6.117150533,6.98494778,8.835367072,9.913680384,9.398367405,17.69888728,17.41615948,12.98250815,14.23408972,23.42241356,21.62412375,18.35457699,17.70091938,16.54726695,21.69614799,20.38135538,6.092191112,5.590277181,7.34905054,8.39473844,,6.159847924,,-0.011276326,0.947885296,1,,1.080045542,4.88E-11,4.36E-08,,-1.355383197,1.83E-13,1.43E-11
Stc1,273,3.168347853,2.928637069,7.560331498,5.24091078,6.03695266,16.72153115,20.98881715,16.89853072,6.755889123,29.20070047,19.39555027,28.80293844,19.44682475,39.50247026,33.89811738,22.76114293,8.012475144,6.13112034,7.529003977,6.602637462,,5.980140497,,0.558132683,0.030938538,0.139871713,,1.837688029,1.96E-11,2.00E-08,,-1.904975765,4.33E-10,1.62E-08
4930447C04Rik,3856,4.124990144,3.898495796,8.2015944,7.403462998,8.226736422,13.40442583,13.32598932,14.47180114,9.34784572,16.98850605,16.48309533,11.52318074,14.21840521,17.04830136,15.01237348,18.17739989,4.40232218,3.950193712,7.006453931,6.007475965,,5.976430014,,0.019606883,0.916780909,1,,1.099447741,3.58E-08,8.47E-06,,-1.399953336,4.08E-10,1.54E-08
Cntn4,2090,2.715146561,2.934185554,6.248568988,4.97374276,4.315583325,10.49539488,9.845494088,9.262592388,7.832010776,11.18397041,7.62298961,11.15370388,10.70785514,10.99063287,12.91911868,10.91834511,4.131434379,2.244568156,5.08000034,4.510856282,,5.974619749,,0.181615174,0.337577968,0.860005632,,1.106607066,1.51E-08,4.10E-06,,-1.405086107,1.45E-10,6.03E-09
Efemp1,121,10.71578965,14.24361623,18.93736802,16.33876334,20.22837495,40.60168243,46.72552898,35.35599688,24.49033185,40.18285364,32.8843052,26.86430749,22.8148697,38.9306413,36.99074041,39.25607545,10.67801093,9.35071447,11.91698818,11.02151451,,5.681384862,,-0.255818945,0.146874264,0.483848362,,1.152617521,1.57E-10,1.02E-07,,-1.496087291,1.74E-13,1.38E-11
Gm10800,666,62.53424677,53.31267839,26.75914401,38.91108097,206.8186837,11.37220481,12.98890706,21.85753602,35.12814135,5.640641219,17.78542665,3.898513197,30.33799817,7.214796783,10.48003452,9.889080423,114.1904275,11.30800946,579.6838419,306.5034346,,5.678178356,,-0.599014557,0.327912982,0.842871914,,-2.164628473,0.000360649,0.012736869,,4.398465635,1.49E-09,4.92E-08
